ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta
"192.168.0.5","192.168.0.255","96","0","0","128","17",,,,,,,,,,,,,"0.000000000","0.000000000",,
"192.168.0.5","192.168.0.255","214","0","0","128","17",,,,,,,,,,,,,"0.750173000","0.750173000",,
"192.168.0.5","192.168.0.255","214","0","0","128","17",,,,,,,,,,,,,"0.750406000","0.000233000",,
"192.168.0.5","192.168.0.255","244","0","0","128","17",,,,,,,,,,,,,"0.750748000","0.000342000",,
"192.168.0.5","192.168.0.255","229","0","0","128","17",,,,,,,,,,,,,"21.127028000","20.376280000",,
"192.168.0.5","192.168.0.255","244","0","0","128","17",,,,,,,,,,,,,"60.756201000","39.629173000",,
"192.168.0.5","192.168.0.255","202","0","0","128","17",,,,,,,,,,,,,"78.399489000","17.643288000",,
"192.168.0.5","192.168.0.255","78","0","0","128","17",,,,,,,,,,,,,"78.399566000","0.000077000",,
"192.168.0.5","192.168.0.255","78","0","0","128","17",,,,,,,,,,,,,"79.147786000","0.748220000",,
"192.168.0.5","192.168.0.255","78","0","0","128","17",,,,,,,,,,,,,"79.897833000","0.750047000",,
,,,,,,,,,,,,,,,,,,,"104.427335000","24.529502000",,
,,,,,,,,,,,,,,,,,,,"104.478533000","0.051198000",,
,,,,,,,,,,,,,,,,,,,"104.541117000","0.062584000",,
,,,,,,,,,,,,,,,,,,,"104.603620000","0.062503000",,
,,,,,,,,,,,,,,,,,,,"104.728539000","0.124919000",,
,,,,,,,,,,,,,,,,,,,"104.791051000","0.062512000",,
,,,,,,,,,,,,,,,,,,,"104.853567000","0.062516000",,
,,,,,,,,,,,,,,,,,,,"104.916057000","0.062490000",,
,,,,,,,,,,,,,,,,,,,"104.978496000","0.062439000",,
,,,,,,,,,,,,,,,,,,,"105.044981000","0.066485000",,
,,,,,,,,,,,,,,,,,,,"105.045674000","0.000693000",,
"192.168.0.5","192.168.0.11","48","1","0","128","6","65535","0","0","0","0","0","0","0","0","0","1","0","105.045988000","0.000314000","0.000000000","0.000000000"
"192.168.0.11","192.168.0.5","48","1","0","128","6","64240","1","0","0","0","0","0","1","0","0","1","0","105.046864000","0.000876000","0.000876000","0.000876000"
"192.168.0.5","192.168.0.11","40","1","0","128","6","65535","1","1","0","0","0","0","1","0","0","0","0","105.047024000","0.000160000","0.001036000","0.000160000"
"192.168.0.5","192.168.0.11","40","1","0","128","6","65535","1","1","0","0","0","0","1","0","0","0","1","105.047049000","0.000025000","0.001061000","0.000025000"
